F10-057,"Chapa B.Carb 22,40mm / 7/8""",,0,112," R$  2,50 ","0,00",30/11/2018
F10-058,"Chapa Inox 304 0,80mm / POLIDO",1200x2000mm,1,16," R$  25,21 ","0,00",30/11/2018
F10-059,"Chapa B.Carb 1,50mm / #16 / FF",,0,19," R$  2,50 ","0,00",03/12/2018
F10-059,"Chapa B.Carb 2,65mm / #12 / FQ",,0,35," R$  2,50 ","0,00",03/12/2018
F10-060,"Tubo B.Carb 50,80 X 2,00mm / 2""",6000mm,0,150," R$  5,40 ","0,00",04/12/2018
F10-061,"Chapa Inox 304 0,80mm / POLIDO",1200x2000mm,5,80," R$  20,00 ","0,05",04/12/2018
F10-062,"Chapa B.Carb 3,00mm / 1/8""",DIVERSAS MEDIDAS,0,3100," R$  2,80 ","0,00",30/11/2018
F10-062,"Chapa B.Carb 2,00mm / #14 / FF",DIVERSAS MEDIDAS,0,1070," R$  2,80 ","0,00",30/11/2018
F10-062A,"Chapa B.Carb 22,40mm / 7/8""",,0,220," R$  6,50 ","0,00",30/11/2018
F10-063,"Tubo B.Carb 50,80 X 3,00mm / 2""",,0,64," R$  5,47 ","0,00",05/12/2018
F10-063,"Ferro Chato B.Carb 1"" X 1/4""",,0,16," R$  6,06 ","0,00",03/12/2018
F10-064,"Ferro Chato B.Carb 1"" X 3/16""",,0,158," R$  5,00 ","0,00",05/12/2018
F10-065,"Chapa B.Carb 38,00mm / 1 1/2""",,0,6," R$  6,50 ","0,00",05/12/2018
F10-066,"Chapa Aluminio Xadrez 2,20mm",,0,27," R$  20,11 ","0,05",07/12/2018
F10-067,"Ferro Chato B.Carb 2"" X 1/8""",6000mm,3,22," R$  5,20 ","0,00",07/12/2018
F10-068,"Chapa Inox 304 0,50mm / DECAPADO",1200x2000mm,0,10," R$  16,20 ","0,00",07/12/2018
F10-069,"Tubo B.Carb 50,80 X 3,00mm / 2""",,0,21," R$  5,50 ","0,00",14/12/2018
F10-069,"Ferro Chato B.Carb 2"" X 1/8""",,0,7," R$  5,50 ","0,00",14/12/2018
F10-070,"Ferro Chato B.Carb 2"" X 1/8""",,0,7," R$  5,50 ","0,00",14/12/2018
F10-071,"Tubo B.Carb 50,80 X 2,65mm / 2""",,0,10," R$  9,50 ","0,00",14/12/2018
F10-072,"Chapa B.Carb 22,40mm / 7/8""",1800x3000mm,2,1935," R$  4,60 ","0,00",09/01/2019
